instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
a2864-99blp,冲突图与编码构造,True,True,not_explicitly_mapped_here,-257,-257 published theorem,"Optimal, exact geometry crosswalk + published theorem; theorem computation not replayed locally",not_in_project_primal_table,,,-282.960474,-257,-257,严格文献定理迁移,−257的文献迁移严格成立，匹配可行解还可闭合最优值。没有重新执行论文内部计算；四次派生COPT超时均不是这条证明的前提。较弱−282证书不替代−257。,,在已排除的小交换之外做 ejection chain/大支持替换，保持冲突可行性。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/a2864-99blp/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
allcolor58,构型生成与残差覆盖,True,True,named_case_or_family_expansion,42,42,"Optimal, exact parity certificate and validated witness",numeric_improvement,258,42,,,,,,奇偶计数结合严格 witness；不把后置证明编成早期 agent 动机,从兄弟构型启动；释放容量类别并生成新构型，避免只在旧字典中选。,旧容量固定/97构型字典均有局部失败；允许新容量和新构型后成功；不能把后置 parity 证明当早期 GPT 动机。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/allcolor58/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
assign1-10-4,分组/多选与耦合资源,True,True,not_explicitly_mapped_here,422,422,"Optimal, exact certificate",not_in_project_primal_table,,,377.444386,422,,,,,在原耦合行上建立冲突图，联合交换完整类别；保留未选择变量的影响。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/assign1-10-4/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bab3,分组/多选与耦合资源,True,True,not_explicitly_mapped_here,"-656,214.95420 (strict)",no new bound,Exact fixed-unassigned 224-block categorical neighborhood closed; global optimum open,not_in_project_primal_table,,,,,,,,,在原耦合行上建立冲突图，联合交换完整类别；保留未选择变量的影响。,固定未分配变量下 224 类别块和组件全部关闭；不能把它当全局独立分解。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bab3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bley_xs1,网络设计与连续 recourse,True,True,not_explicitly_mapped_here,"3,855,895.86","3,532,608.740610",Feasible; global optimum open,not_in_project_primal_table,,,,,,,,,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bley_xs1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bley_xs1noM,网络设计与连续 recourse,True,True,not_explicitly_mapped_here,"3,855,895.86 (strict incumbent)","3,344,924.0428 (solver, 720 s)",Equivalent Big-M strengthening improves same-budget numerical bound by 554.6058; global optimum open,numeric_improvement,3873690.77,3855895.86,,,,,,,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,兄弟映射需检查额外 883 个整数上界；后续单/双容量块搜索无更好 primal。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bley_xs1noM/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bppc6-06,布局/装箱/几何关系,True,True,named_case_or_family_expansion,208,208,"Optimal, tight-profile CNF/LRAT certificate and exact witness",not_in_project_primal_table,,,201,208,,,,精确 cutoff 编码和独立 DRAT/LRAT 检查,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bppc6-06/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cdc7-4-3-2,冲突图与编码构造,True,True,not_explicitly_mapped_here,-307,-381,Feasible; all exchanges through 4→5 ruled out,not_in_project_primal_table,,,,,,,,,在已排除的小交换之外做 ejection chain/大支持替换，保持冲突可行性。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cdc7-4-3-2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
circ10-3,时间选择与排程,True,True,not_explicitly_mapped_here,242,242 published,"Optimal, exact MPS crosswalk + published exhaustive result",numeric_improvement,256,242,141,242,242,文献计算结果迁移,通过文献迁移审核。未独立重放外部完整搜索，也未取得期刊14页完整正文；本地242可行性日志、较弱220界均不充当外部最优性证明。,,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/circ10-3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cmflsp40-36-2-10,跨期生产与库存 recourse,True,True,not_explicitly_mapped_here,"66,452,236.4536 (strict repair)","65,928,415.3068 (solver)",985 exact item/period neighborhoods closed; 0.7883% global gap; no strict primal improvement,not_in_project_primal_table,,,64134678.7,65928415.30680852,65928415.306808524,原模型身份重建＋历史全局solver数值支持,按用户认可的模型与合理日志标准通过；原global runner缺失仍限制完整复现。32位指纹不构成无碰撞数学身份证明，也不覆盖一切潜在历史callback。没有发现额外限制的实际证据，但不能宣称恢复了全部运行源码或精确认证所有小数位。,,联合释放 BOM/设备相关项和跨期 setup；固定整数后重算库存和需求行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cmflsp40-36-2-10/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
